53.txt:ТЫ-0.331007399174;НАЕЗДНИК-0.320295863807;ПЕРВОЕ-0.160147931904;ПУШЕЧНЫЙ-0.160147931904;ВЫЙТИ-0.160147931904;ТРУДНЫЙ-0.160147931904;УРЯДНИК-0.160147931904;ПЕРЕДОВОЙ-0.160147931904;МУНДИР-0.160147931904;УДАТЬСЯ-0.160147931904;
63.txt:ПРАВО-0.311112942559;ВЛАСТЬ-0.207408628373;СЛОВО-0.207408628373;ЗАВИСЕТЬ-0.207408628373;ДОРОГОЙ-0.207408628373;ИНОЙ-0.207408628373;ХОРОШИЙ-0.207408628373;БОГ-0.158607171877;ДРУГ-0.130060149846;ВДОХНОВЕНИЕ-0.103704314186;
62.txt:ПОМЯТЬ-0.24867089535;НАШ-0.24867089535;ГОД-0.186503171513;ПОРА-0.142620588216;ВЕСЬ-0.142620588216;СУДЬБА-0.124335447675;СТАТЬ-0.124335447675;ЧЕЛОВЕК-0.124335447675;ПЕСНЯ-0.124335447675;РАТЬ-0.124335447675;
65.txt:РУССКАЯ-0.229701945122;РАССТУПИТЬСЯ-0.229701945122;МЕТКИЙ-0.229701945122;ТРИЖДЫ-0.229701945122;ОПЕРЕТЬСЯ-0.229701945122;ЛЮБОПЫТНЫЙ-0.229701945122;ПРИЦЕЛИТЬСЯ-0.229701945122;ВРОЗЬ-0.229701945122;УДАЛОЙ-0.229701945122;РУКА-0.229701945122;
66.txt:ПОКОИТЬ-0.321175302691;ДАВНО-0.321175302691;ДЕНЬ-0.245605531632;ПОРА-0.245605531632;ПОБЕГ-0.160587651346;ТРУД-0.160587651346;ГЛЯДЬ-0.160587651346;УСТАЛЫЙ-0.160587651346;ПРОСИТЬ-0.160587651346;МЕЧТАТЬСЯ-0.160587651346;
64.txt:ИГРА-0.331310484681;ТЫ-0.298493095913;УСИЛИЕ-0.216625302564;ТЕШИТЬСЯ-0.216625302564;СТРОИТЬ-0.216625302564;КРАСА-0.216625302564;КЛЯНУСЯ-0.216625302564;ДОСТОЙНЫЙ-0.216625302564;ОБНЯТЬСЯ-0.216625302564;БЫСТРЫЙ-0.216625302564;
54.txt:ГРУСТНЫЙ-0.261152895782;ТЫ-0.208640997773;БАРКЛАЙ-0.151416967055;МАСТЕРСКАЯ-0.151416967055;ТОЛПА-0.151416967055;ГОРДИТЬСЯ-0.151416967055;ПОЧИТЬ-0.151416967055;ЗЕВС-0.151416967055;АПОЛЛОН-0.151416967055;ИДЕАЛ-0.151416967055;
61.txt:БЫТЬ-0.339579515956;ЛИРА-0.226386343971;ВЕСЬ-0.173119595122;МУЗА-0.113193171985;ГЛАВА-0.113193171985;ЗАВЕТНЫЙ-0.113193171985;ПРИЕМЛИТЬ-0.113193171985;ЗАРАСТИ-0.113193171985;СЛАВЯНИН-0.113193171985;ФИНН-0.113193171985;
60.txt:КЛАДБИЩЕ-0.190076183537;УРНА-0.190076183537;ВОР-0.163914740585;МОГИЛА-0.163914740585;МОХОМА-0.0950380917686;БЛЕДНЫЙ-0.0950380917686;ОНИ-0.0950380917686;ДУБ-0.0950380917686;ВЗДОХ-0.0950380917686;БРОДИТЬ-0.0950380917686;
58.txt:ПЕСОК-0.226528946535;ПЫЛЬНЫЙ-0.226528946535;ПЯТА-0.226528946535;СЛЕДИТЬ-0.226528946535;ВЫСОТА-0.226528946535;ГОЛОДНЫЙ-0.226528946535;ПАХУЧИЙ-0.226528946535;БЕГ-0.226528946535;НАПРАСНЫЙ-0.226528946535;ГНАТЬСЯ-0.226528946535;
56.txt:СОРВАТЬСЯ-0.15269771921;ТРУП-0.15269771921;ЛИК-0.15269771921;БЕС-0.15269771921;ГЕЕННА-0.15269771921;ПРЕДАТЕЛЬ-0.15269771921;ПОНЕСТИ-0.15269771921;ГЛАДНЫЙ-0.15269771921;ПРОКЛЯСТЬ-0.15269771921;ЛОБЗАТЬ-0.15269771921;
59.txt:МОЙ-0.35912145068;ДУХ-0.239414300454;ДАТЬ-0.239414300454;СЕРДЦЕ-0.20646212598;ДЕНЬ-0.183082186116;ОСУЖДЕНИЕ-0.119707150227;ТЕРПЕНИЕ-0.119707150227;ЗАОЧНЫЙ-0.119707150227;СМИРЕНИЕ-0.119707150227;УНЫЛЫЙ-0.119707150227;
57.txt:ИЛЬ-0.278056771989;ДВА-0.214957157352;КРЕСТ-0.214957157352;ЖЕНА-0.185371181326;МАРИЯ-ГРЕШНИЦА-0.107478578676;МЫШЬ-0.107478578676;СЮДА-0.107478578676;БОЖЕСТВО-0.107478578676;МУЧИТЕЛЬ-0.107478578676;КРЫЛЬЦО-0.107478578676;
